id,start_id,end_id,direction,start_name,start_coordinate,end_name,end_coordinate,bus_lines,start_lon,start_lat,end_lon,end_lat
1,1780,6433,1,TRONE,"4.364798, 50.841846",TRONE,"4.367127, 50.840315",12,4.364798,50.841846000000004,4.367127,50.840315000000004
2,6433,1131,1,TRONE,"4.367127, 50.840315",LUXEMBOURG,"4.373679, 50.839745",12,4.367127,50.840315000000004,4.373679,50.839745
3,1131,6464,1,LUXEMBOURG,"4.373679, 50.839745",MAELBEEK,"4.378319, 50.843725",12,4.373679,50.839745,4.378319,50.843725
4,6464,1318,1,MAELBEEK,"4.378319, 50.843725",SCHUMAN,"4.383817, 50.844356",12,4.378319,50.843725,4.383817,50.844356
5,1318,2247,1,SCHUMAN,"4.383817, 50.844356",MEISER,"4.397888, 50.853976",12,4.383817,50.844356,4.397888,50.853976
6,2247,4556,1,MEISER,"4.397888, 50.853976",GENEVE,"4.403284, 50.864192",12,4.397888,50.853976,4.403283999999999,50.864191999999996
7,4556,5044,1,GENEVE,"4.403284, 50.864192",DA VINCI,"4.414716, 50.876795",12,4.403283999999999,50.864191999999996,4.414716,50.876795
8,5044,3018,1,DA VINCI,"4.414716, 50.876795",BOURGET,"4.431073, 50.8785",12,4.414716,50.876795,4.4310730000000005,50.8785
9,3018,9600,1,BOURGET,"4.431073, 50.8785",BRUSSELS AIRPORT,"4.481761, 50.898149",12,4.4310730000000005,50.8785,4.481761,50.898149
10,9600,3017,2,BRUSSELS AIRPORT,"4.481761, 50.898149",BOURGET,"4.430334, 50.87815",12,4.481761,50.898149,4.430333999999999,50.87815
11,3017,5048,2,BOURGET,"4.430334, 50.87815",DA VINCI,"4.41044, 50.876145",12,4.430333999999999,50.87815,4.41044,50.876145
12,5048,2695,2,DA VINCI,"4.41044, 50.876145",GENEVE,"4.403241, 50.863832",12,4.41044,50.876145,4.403241,50.863832
13,2695,2250,2,GENEVE,"4.403241, 50.863832",MEISER,"4.397794, 50.853963",12,4.403241,50.863832,4.397794,50.853963
14,2250,1317,2,MEISER,"4.397794, 50.853963",SCHUMAN,"4.384186, 50.844329",12,4.397794,50.853963,4.384186,50.844328999999995
15,1317,6465,2,SCHUMAN,"4.384186, 50.844329",MAELBEEK,"4.378072, 50.843551",12,4.384186,50.844328999999995,4.378072,50.843551
16,6465,1162,2,MAELBEEK,"4.378072, 50.843551",LUXEMBOURG,"4.373376, 50.839401",12,4.378072,50.843551,4.373376,50.839401
17,1162,6432,2,LUXEMBOURG,"4.373376, 50.839401",TRONE,"4.366324, 50.840537",12,4.373376,50.839401,4.366324,50.840537
18,6432,1780,2,TRONE,"4.366324, 50.840537",TRONE,"4.364798, 50.841846",12,4.366324,50.840537,4.364798,50.841846000000004
19,1732,1743,1,UZ-VUB,"4.308952, 50.885712",UZ BRUSSEL,"4.311452, 50.886729","13, 88",4.308952,50.885712,4.311452,50.886728999999995
